,admin_name,capital,city,city_ascii,country,id,iso2,iso3,lat,lng,population
6292,Saxony,admin,Dresden,Dresden,Germany,1276561036.0,DE,DEU,51.05,13.75,617515.0
1218,Sabah,,Tawau,Tawau,Malaysia,1458745722.0,MY,MYS,4.271,117.896,306462.0
2655,Krasnodarskiy Kray,minor,Labinsk,Labinsk,Russia,1643209545.0,RU,RUS,44.6348,40.7443,61945.0
1270,//Karas,,Karasburg,Karasburg,Namibia,1516005938.0,,NAM,-28.0196,18.74,6054.0
1851,,primary,Saint-Pierre,Saint-Pierre,Saint Pierre And Miquelon,1666340272.0,PM,SPM,46.7811,-56.1764,
682,Toliara,,Morombe,Morombe,Madagascar,1450018559.0,MG,MDG,-21.7391,43.3657,16727.0
1861,Porto,admin,Porto,Porto,Portugal,1620356810.0,PT,PRT,41.15,-8.62,1337000.0
1807,Punjab,,Kundian,Kundian,Pakistan,1586180022.0,PK,PAK,32.4522,71.4718,35406.0
1067,Michoacán de Ocampo,minor,Uruapan,Uruapan,Mexico,1484051478.0,MX,MEX,19.4204,-102.07,264531.0
1851,,primary,Saint-Pierre,Saint-Pierre,Saint Pierre And Miquelon,1666340272.0,PM,SPM,46.7811,-56.1764,
1218,Sabah,,Tawau,Tawau,Malaysia,1458745722.0,MY,MYS,4.271,117.896,306462.0
2161,Sankt-Peterburg,admin,St. Petersburg,St. Petersburg,Russia,1643616350.0,RU,RUS,59.939,30.316,4553000.0
1067,Michoacán de Ocampo,minor,Uruapan,Uruapan,Mexico,1484051478.0,MX,MEX,19.4204,-102.07,264531.0
2655,Krasnodarskiy Kray,minor,Labinsk,Labinsk,Russia,1643209545.0,RU,RUS,44.6348,40.7443,61945.0
998,Mchinji,admin,Mchinji,Mchinji,Malawi,1454607053.0,MW,MWI,-13.8,32.9,18305.0
1093,Querétaro,admin,Querétaro,Queretaro,Mexico,1484604775.0,MX,MEX,20.63,-100.38,961000.0
2655,Krasnodarskiy Kray,minor,Labinsk,Labinsk,Russia,1643209545.0,RU,RUS,44.6348,40.7443,61945.0
1218,Sabah,,Tawau,Tawau,Malaysia,1458745722.0,MY,MYS,4.271,117.896,306462.0
2161,Sankt-Peterburg,admin,St. Petersburg,St. Petersburg,Russia,1643616350.0,RU,RUS,59.939,30.316,4553000.0
1646,Bougainville,,Sohano,Sohano,Papua New Guinea,1598474458.0,PG,PNG,-5.4297,154.6711,2338.0
2655,Krasnodarskiy Kray,minor,Labinsk,Labinsk,Russia,1643209545.0,RU,RUS,44.6348,40.7443,61945.0
193,Zhambyl,admin,Taraz,Taraz,Kazakhstan,1398626276.0,KZ,KAZ,42.9,71.365,358153.0
39,Ma’rib,admin,Marib,Marib,Yemen,1887153216.0,YE,YEM,15.421,45.334,16794.0
1851,,primary,Saint-Pierre,Saint-Pierre,Saint Pierre And Miquelon,1666340272.0,PM,SPM,46.7811,-56.1764,
2161,Sankt-Peterburg,admin,St. Petersburg,St. Petersburg,Russia,1643616350.0,RU,RUS,59.939,30.316,4553000.0
16,Gjilan,admin,Gjilan,Gjilan,Kosovo,1901235642.0,XK,XKS,42.4689,21.4633,
1112,Coahuila de Zaragoza,minor,Parras,Parras,Mexico,1484273682.0,MX,MEX,25.4204,-102.1799,32253.0
4223,Niederösterreich,minor,Wiener Neustadt,Wiener Neustadt,Austria,1040389518.0,AT,AUT,47.816,16.25,82762.0
119,Eastern Cape,,Port Alfred,Port Alfred,South Africa,1710920478.0,ZA,ZAF,-33.5995,26.88,17959.0
143,Western,,Sesheke,Sesheke,Zambia,1894753767.0,ZM,ZMB,-17.4695,24.3,20149.0
167,Muchinga,,Mpika,Mpika,Zambia,1894224372.0,ZM,ZMB,-11.83,31.46,28445.0
6792,Coventry,admin,Coventry,Coventry,United Kingdom,1826979198.0,GB,GBR,52.4204,-1.5,388271.0
61,‘Adan,admin,Aden,Aden,Yemen,1887867886.0,YE,YEM,12.7797,45.0095,1000000.0
1851,,primary,Saint-Pierre,Saint-Pierre,Saint Pierre And Miquelon,1666340272.0,PM,SPM,46.7811,-56.1764,
1861,Porto,admin,Porto,Porto,Portugal,1620356810.0,PT,PRT,41.15,-8.62,1337000.0
7652,Kermān,admin,Kerman,Kerman,Iran,1364554896.0,IR,IRN,30.3,57.08,577514.0
7652,Kermān,admin,Kerman,Kerman,Iran,1364554896.0,IR,IRN,30.3,57.08,577514.0
38,Amānat al ‘Āşimah,primary,Sanaa,Sanaa,Yemen,1887750814.0,YE,YEM,15.3547,44.2066,2008000.0
12,Klinë,admin,Klinë,Kline,Kosovo,1901230162.0,XK,XKS,42.6217,20.5778,
98,Eastern Cape,,Middelburg,Middelburg,South Africa,1710010705.0,ZA,ZAF,-31.5,25.01,18164.0
3331,Tunis,primary,Tunis,Tunis,Tunisia,1788742103.0,TN,TUN,36.8028,10.1797,2412500.0
253,Shyghys Qazaqstan,admin,Oskemen,Oskemen,Kazakhstan,1398371414.0,KZ,KAZ,49.99,82.6149,319067.0
2265,Yaroslavskaya Oblast’,,Rostov,Rostov,Russia,1643848937.0,RU,RUS,57.1892,39.4043,33803.0
998,Mchinji,admin,Mchinji,Mchinji,Malawi,1454607053.0,MW,MWI,-13.8,32.9,18305.0
61,‘Adan,admin,Aden,Aden,Yemen,1887867886.0,YE,YEM,12.7797,45.0095,1000000.0
645,Berane,admin,Berane,Berane,Montenegro,1499204492.0,ME,MNE,42.8425,19.8733,
2232,Bashkortostan,,Belebey,Belebey,Russia,1643040403.0,RU,RUS,54.1291,54.1187,62582.0
38,Amānat al ‘Āşimah,primary,Sanaa,Sanaa,Yemen,1887750814.0,YE,YEM,15.3547,44.2066,2008000.0
1337,Niger,admin,Minna,Minna,Nigeria,1566285237.0,NG,NGA,9.62,6.55,291905.0
6905,Eilean Siar,admin,Stornoway,Stornoway,United Kingdom,1826708788.0,GB,GBR,58.2167,-6.3667,
69,North West,,Rustenburg,Rustenburg,South Africa,1710326039.0,ZA,ZAF,-25.65,27.24,165976.0
1218,Sabah,,Tawau,Tawau,Malaysia,1458745722.0,MY,MYS,4.271,117.896,306462.0
7652,Kermān,admin,Kerman,Kerman,Iran,1364554896.0,IR,IRN,30.3,57.08,577514.0
2161,Sankt-Peterburg,admin,St. Petersburg,St. Petersburg,Russia,1643616350.0,RU,RUS,59.939,30.316,4553000.0
998,Mchinji,admin,Mchinji,Mchinji,Malawi,1454607053.0,MW,MWI,-13.8,32.9,18305.0
2585,Chelyabinskaya Oblast’,,Kartaly,Kartaly,Russia,1643181186.0,RU,RUS,53.0474,60.6819,28503.0
645,Berane,admin,Berane,Berane,Montenegro,1499204492.0,ME,MNE,42.8425,19.8733,
253,Shyghys Qazaqstan,admin,Oskemen,Oskemen,Kazakhstan,1398371414.0,KZ,KAZ,49.99,82.6149,319067.0
2170,Irkutskaya Oblast’,admin,Irkutsk,Irkutsk,Russia,1643439037.0,RU,RUS,52.32,104.245,586695.0
1067,Michoacán de Ocampo,minor,Uruapan,Uruapan,Mexico,1484051478.0,MX,MEX,19.4204,-102.07,264531.0
1851,,primary,Saint-Pierre,Saint-Pierre,Saint Pierre And Miquelon,1666340272.0,PM,SPM,46.7811,-56.1764,
253,Shyghys Qazaqstan,admin,Oskemen,Oskemen,Kazakhstan,1398371414.0,KZ,KAZ,49.99,82.6149,319067.0
568,Banghāzī,admin,Banghazi,Banghazi,Libya,1434915572.0,LY,LBY,32.1167,20.0667,1180000.0
1851,,primary,Saint-Pierre,Saint-Pierre,Saint Pierre And Miquelon,1666340272.0,PM,SPM,46.7811,-56.1764,
1470,,,Dhangarhi,Dhangarhi,Nepal,1524561456.0,NP,NPL,28.695,80.593,92294.0
1335,Zamfara,admin,Gusau,Gusau,Nigeria,1566383682.0,NG,NGA,12.1704,6.66,226857.0
4336,New South Wales,,Maitland,Maitland,Australia,1036034945.0,AU,AUS,-32.721,151.555,18625.0
6792,Coventry,admin,Coventry,Coventry,United Kingdom,1826979198.0,GB,GBR,52.4204,-1.5,388271.0
645,Berane,admin,Berane,Berane,Montenegro,1499204492.0,ME,MNE,42.8425,19.8733,
1112,Coahuila de Zaragoza,minor,Parras,Parras,Mexico,1484273682.0,MX,MEX,25.4204,-102.1799,32253.0
547,Al Jabal al Gharbī,admin,Gharyan,Gharyan,Libya,1434507846.0,LY,LBY,32.1704,13.02,146810.0
16,Gjilan,admin,Gjilan,Gjilan,Kosovo,1901235642.0,XK,XKS,42.4689,21.4633,
9221,Texas,,Temple,Temple,United States,1840022154.0,US,USA,31.1077,-97.3899,100641.0
2332,Tatarstan,,Naberezhnyye Chelny,Naberezhnyye Chelny,Russia,1643008493.0,RU,RUS,55.7,52.3199,461086.0
12,Klinë,admin,Klinë,Kline,Kosovo,1901230162.0,XK,XKS,42.6217,20.5778,
7652,Kermān,admin,Kerman,Kerman,Iran,1364554896.0,IR,IRN,30.3,57.08,577514.0
98,Eastern Cape,,Middelburg,Middelburg,South Africa,1710010705.0,ZA,ZAF,-31.5,25.01,18164.0
16,Gjilan,admin,Gjilan,Gjilan,Kosovo,1901235642.0,XK,XKS,42.4689,21.4633,
2273,Sverdlovskaya Oblast’,,Asbest,Asbest,Russia,1643561210.0,RU,RUS,57.023,61.458,81248.0
7652,Kermān,admin,Kerman,Kerman,Iran,1364554896.0,IR,IRN,30.3,57.08,577514.0
253,Shyghys Qazaqstan,admin,Oskemen,Oskemen,Kazakhstan,1398371414.0,KZ,KAZ,49.99,82.6149,319067.0
253,Shyghys Qazaqstan,admin,Oskemen,Oskemen,Kazakhstan,1398371414.0,KZ,KAZ,49.99,82.6149,319067.0
1218,Sabah,,Tawau,Tawau,Malaysia,1458745722.0,MY,MYS,4.271,117.896,306462.0
998,Mchinji,admin,Mchinji,Mchinji,Malawi,1454607053.0,MW,MWI,-13.8,32.9,18305.0
2788,Norrbotten,admin,Luleå,Lulea,Sweden,1752765449.0,SE,SWE,65.5966,22.1584,48638.0
422,Esch-sur-Alzette,admin,Esch-sur-Alzette,Esch-sur-Alzette,Luxembourg,1442192663.0,LU,LUX,49.4958,5.9806,
998,Mchinji,admin,Mchinji,Mchinji,Malawi,1454607053.0,MW,MWI,-13.8,32.9,18305.0
1470,,,Dhangarhi,Dhangarhi,Nepal,1524561456.0,NP,NPL,28.695,80.593,92294.0
6676,Corsica,,Bastia,Bastia,France,1250664815.0,FR,FRA,42.7032,9.45,41001.0
645,Berane,admin,Berane,Berane,Montenegro,1499204492.0,ME,MNE,42.8425,19.8733,
2585,Chelyabinskaya Oblast’,,Kartaly,Kartaly,Russia,1643181186.0,RU,RUS,53.0474,60.6819,28503.0
54,Al Bayḑā’,minor,Rida,Rida,Yemen,1887090855.0,YE,YEM,14.4295,44.8341,45233.0
7652,Kermān,admin,Kerman,Kerman,Iran,1364554896.0,IR,IRN,30.3,57.08,577514.0
110,Northern Cape,,Colesberg,Colesberg,South Africa,1710885210.0,ZA,ZAF,-30.7195,25.1,12423.0
7652,Kermān,admin,Kerman,Kerman,Iran,1364554896.0,IR,IRN,30.3,57.08,577514.0
38,Amānat al ‘Āşimah,primary,Sanaa,Sanaa,Yemen,1887750814.0,YE,YEM,15.3547,44.2066,2008000.0
1045,Coahuila de Zaragoza,admin,Saltillo,Saltillo,Mexico,1484107245.0,MX,MEX,25.42,-101.005,754000.0
193,Zhambyl,admin,Taraz,Taraz,Kazakhstan,1398626276.0,KZ,KAZ,42.9,71.365,358153.0
576,Al Jufrah,,Zillah,Zillah,Libya,1434245699.0,LY,LBY,28.5504,17.5834,10.0
645,Berane,admin,Berane,Berane,Montenegro,1499204492.0,ME,MNE,42.8425,19.8733,
6284,Saxony-Anhalt,admin,Magdeburg,Magdeburg,Germany,1276418236.0,DE,DEU,52.1304,11.62,229826.0
568,Banghāzī,admin,Banghazi,Banghazi,Libya,1434915572.0,LY,LBY,32.1167,20.0667,1180000.0
